// Boom Beach Commands

-1 = LogicCommand (getCommandType() not implemented)

1 - LogicJoinAllianceCommand
2 - LogicLeaveAllianceCommand
3 - LogicChangeAvatarNameCommand
4 - LogicAllianceSettingsChangedCommand
5 - LogicDiamondsAddedCommand
6 - LogicChangeAllianceRoleCommand
7 - LogicAddMapTileCommand
8 - LogicAddResourceShipCommand
9 - LogicSabotageCommand
10 - LogicChangeAvatarNameByAdminCommand
11 - LogicScrambleLayoutCommand
12 - LogicCoopMissionCompletedCommand
13 - LogicFreeTrainAllCommand
14 - LogicTransactionsRevokedCommand
15 - LogicPackageBoughtCommand
16 - LogicEndSubscriptionCommand
17 - LogicTraderRewardsCommand
18 - LogicSetTraderStateCommand
19 - LogicDonateResourceAdminCommand

500 - LogicBuyBuildingCommand
501 - LogicMoveBuildingCommand
502 - LogicUpgradeBuildingCommand
503 - LogicSellBuildingCommand
504 - LogicSpeedUpConstructionCommand
505 - LogicCancelConstructionCommand
506 - LogicCollectResourcesCommand
507 - LogicClearObstacleCommand
508 - LogicTrainUnitCommand
509 - LogicCancelUnitProductionCommand
510 - LogicBuyTrapCommand
512 - LogicBuyDecoCommand
513 - LogicSpeedUpTrainingCommand
514 - LogicSpeedUpClearingCommand
515 - LogicCancelUpgradeUnitCommand
516 - LogicUpgradeUnitCommand
517 - LogicSpeedUpUpgradeUnitCommand
519 - LogicFreeWorkerCommand
521 - LogicClaimAchievementRewardCommand
522 - LogicCreateArtifactCommand
523 - LogicSpeedUpCreateArtifactCommand
524 - LogicScrapArtifactCommand
525 - LogicStoreArtifactCommand
526 - LogicSpeedUpDeepseaCommand
527 - LogicCancelNameSettingMissionCommand
528 - LogicUpgradeHeroAbilityCommand
529 - LogicUseTraderTicketCommand
534 - LogicCollectResourceShipCommand
535 - LogicSpeedUpAllTrainingCommand
537 - LogicCancelArtifactProductionCommand
538 - LogicBoostArtifactCommand
539 - LogicTrainAllCommand
540 - LogicBuyResourceBundleAndSpeedupUnitUpgradeCommand
541 - LogicCancelPrototypeProductionCommand
542 - LogicSpeedUpCreatePrototypeCommand
543 - LogicCreatePrototypeCommand
544 - LogicSwapLandingBoatsCommand
545 - LogicLoadLayoutCommand
546 - LogicSaveLayoutCommand
547 - LogicSetRedStateCommand
548 - LogicLoadPresetCommand
549 - LogicSavePresetCommand
550 - LogicConvertFragmentsCommand
551 - LogicSelectHeroCommand
552 - LogicSelectHeroAbilityCommand
553 - LogicMarkHeroSeenCommand
580 - LogicUnlockHeroCommand
581 - LogicStartDeepseaCommand
582 - LogicClaimDeepseaCommand
583 - LogicUpdateOldScoreCommand
584 - LogicClaimDailyRewardCommand
585 - LogicClearMegabaseBattleResultCommand
586 - LogicSetMegabaseIntroPhaseCommand
587 - LogicBuyTraderOfferCommand
588 - LogicSetPlayerBaseNote
589 - LogicSpawnBottleCommand
590 - LogicSetAllianceAdvertTickerShownCommand
591 - LogicBuyResourcesCommand
592 - LogicClaimTreasureCommand
593 - LogicExploreTileCommand
594 - LogicBuyResourceBundleCommand
595 - LogicMissionProgressCommand
596 - LogicStartMissionCommand
597 - LogicBuyResourceBundleAndFreeWorkerCommand
598 - LogicRematchMakePlayerCommand
599 - LogicRemoveRecentlyInvadedFlagCommand

600 - LogicStrikeCommand
602 - LogicEndAttackPreparationCommand
603 - LogicEndCombatCommand
604 - LogicCastSpellCommand
605 - LogicDeployLandingShipCommand
606 - LogicUseHeroAbilityCommand
610 - LogicUpgradeSectorCommand
611 - LogicBoostSectorCommand
612 - LogicMakeSuppliesCommand
613 - LogicSectorBonusesSeenCommand

700 - LogicHackBitsCommand

1000 - LogicDebugCommand
